"","symbol","company","date","open","high","low","close","volume","adjusted"
"172","TSLA","Tesla Inc.",2020-10-01,440.76001,448.880005,434.420013,448.160004,50741500,448.160004
"173","TSLA","Tesla Inc.",2020-10-02,421.390015,439.130005,415,415.089996,71430000,415.089996
"174","TSLA","Tesla Inc.",2020-10-05,423.350006,433.640015,419.329987,425.679993,44722800,425.679993
"175","TSLA","Tesla Inc.",2020-10-06,423.790009,428.779999,406.049988,413.980011,49146300,413.980011
"176","TSLA","Tesla Inc.",2020-10-07,419.869995,429.899994,413.850006,425.299988,43127700,425.299988
"177","TSLA","Tesla Inc.",2020-10-08,438.440002,439,425.299988,425.920013,40421100,425.920013
"178","TSLA","Tesla Inc.",2020-10-09,430.130005,434.589996,426.459991,434,28925700,434
"179","TSLA","Tesla Inc.",2020-10-12,442,448.73999,438.579987,442.299988,38791100,442.299988
"180","TSLA","Tesla Inc.",2020-10-13,443.350006,448.890015,436.600006,446.649994,34463700,446.649994
"181","TSLA","Tesla Inc.",2020-10-14,449.779999,465.899994,447.350006,461.299988,48045400,461.299988
"182","TSLA","Tesla Inc.",2020-10-15,450.309998,456.570007,442.5,448.880005,35672400,448.880005
"183","TSLA","Tesla Inc.",2020-10-16,454.440002,455.950012,438.850006,439.670013,32775900,439.670013
"184","TSLA","Tesla Inc.",2020-10-19,446.23999,447,428.869995,430.829987,36287800,430.829987
"185","TSLA","Tesla Inc.",2020-10-20,431.75,431.75,419.049988,421.940002,31656300,421.940002
"186","TSLA","Tesla Inc.",2020-10-21,422.700012,432.950012,421.25,422.640015,32370500,422.640015
"187","TSLA","Tesla Inc.",2020-10-22,441.920013,445.230011,424.51001,425.790009,39993200,425.790009
"188","TSLA","Tesla Inc.",2020-10-23,421.839996,422.890015,407.380005,420.630005,33717000,420.630005
"189","TSLA","Tesla Inc.",2020-10-26,411.630005,425.76001,410,420.279999,28239200,420.279999
"190","TSLA","Tesla Inc.",2020-10-27,423.76001,430.5,420.100006,424.679993,22686500,424.679993
"191","TSLA","Tesla Inc.",2020-10-28,416.480011,418.600006,406,406.019989,25451400,406.019989
"192","TSLA","Tesla Inc.",2020-10-29,409.959991,418.059998,406.459991,410.829987,22655300,410.829987
"193","TSLA","Tesla Inc.",2020-10-30,406.899994,407.589996,379.109985,388.040009,42511300,388.040009
"194","TSLA","Tesla Inc.",2020-11-02,394,406.980011,392.299988,400.51001,29021100,400.51001
"195","TSLA","Tesla Inc.",2020-11-03,409.730011,427.769989,406.690002,423.899994,34351700,423.899994
"196","TSLA","Tesla Inc.",2020-11-04,430.619995,435.399994,417.100006,420.980011,32143100,420.980011
"197","TSLA","Tesla Inc.",2020-11-05,428.299988,440,424,438.089996,28414500,438.089996
"198","TSLA","Tesla Inc.",2020-11-06,436.100006,436.570007,424.279999,429.950012,21706000,429.950012
"199","TSLA","Tesla Inc.",2020-11-09,439.5,452.5,421,421.26001,34833000,421.26001
"200","TSLA","Tesla Inc.",2020-11-10,420.089996,420.089996,396.029999,410.359985,30284200,410.359985
"201","TSLA","Tesla Inc.",2020-11-11,416.450012,418.700012,410.579987,417.130005,17357700,417.130005
"202","TSLA","Tesla Inc.",2020-11-12,415.049988,423,409.519989,411.76001,19855100,411.76001
"203","TSLA","Tesla Inc.",2020-11-13,410.850006,412.529999,401.660004,408.5,19771100,408.5
"204","TSLA","Tesla Inc.",2020-11-16,408.929993,412.450012,404.089996,408.089996,26838600,408.089996
"205","TSLA","Tesla Inc.",2020-11-17,460.170013,462,433.01001,441.609985,61188300,441.609985
"206","TSLA","Tesla Inc.",2020-11-18,448.350006,496,443.5,486.640015,78044000,486.640015
"207","TSLA","Tesla Inc.",2020-11-19,492,508.609985,487.570007,499.269989,62475300,499.269989
"208","TSLA","Tesla Inc.",2020-11-20,497.98999,502.5,489.059998,489.609985,32807300,489.609985
"209","TSLA","Tesla Inc.",2020-11-23,503.5,526,501.790009,521.849976,50260300,521.849976
"210","TSLA","Tesla Inc.",2020-11-24,540.400024,559.98999,526.200012,555.380005,53648500,555.380005
"211","TSLA","Tesla Inc.",2020-11-25,550.059998,574,545.369995,574,48930200,574
"212","TSLA","Tesla Inc.",2020-11-27,581.159973,598.780029,578.450012,585.76001,37561100,585.76001
"213","TSLA","Tesla Inc.",2020-11-30,602.210022,607.799988,554.51001,567.599976,63003100,567.599976
"214","TSLA","Tesla Inc.",2020-12-01,597.590027,597.849976,572.049988,584.76001,40382800,584.76001
"215","GILD","Gilead Sciences, Inc.",2020-07-01,77.099998,77.230003,75.900002,76.059998,7786900,75.271332
"216","GILD","Gilead Sciences, Inc.",2020-07-02,76.309998,77.089996,75.650002,76.349998,6381000,75.558327
"217","GILD","Gilead Sciences, Inc.",2020-07-06,77.510002,77.660004,76.07,76.760002,7056600,75.964081
"218","GILD","Gilead Sciences, Inc.",2020-07-07,76.489998,76.959999,76.309998,76.419998,5055700,75.627602
"219","GILD","Gilead Sciences, Inc.",2020-07-08,76.699997,77,74.93,75.610001,6293500,74.826004
"220","GILD","Gilead Sciences, Inc.",2020-07-09,75.110001,75.839996,73.949997,74.709999,5199800,73.935333
"221","GILD","Gilead Sciences, Inc.",2020-07-10,76.099998,76.849998,75.519997,76.32,9553800,75.528641
"222","GILD","Gilead Sciences, Inc.",2020-07-13,76.519997,78.339996,75.949997,76.68,9626600,75.884903
"223","GILD","Gilead Sciences, Inc.",2020-07-14,76.209999,77.349998,75.440002,77.190002,6904200,76.389618
"224","GILD","Gilead Sciences, Inc.",2020-07-15,76.989998,77.290001,76.239998,76.650002,6018800,75.855217
"225","GILD","Gilead Sciences, Inc.",2020-07-16,76.599998,76.75,75.629997,76.639999,4862200,75.845322
"226","GILD","Gilead Sciences, Inc.",2020-07-17,76.529999,77.650002,76.209999,77.510002,6940100,76.706299
"227","GILD","Gilead Sciences, Inc.",2020-07-20,77.75,78.940002,77.279999,78.080002,6974400,77.270393
"228","GILD","Gilead Sciences, Inc.",2020-07-21,77.349998,77.989998,76.599998,76.779999,5649600,75.983864
"229","GILD","Gilead Sciences, Inc.",2020-07-22,76.870003,77.25,75.959999,76.25,4734800,75.459366
"230","GILD","Gilead Sciences, Inc.",2020-07-23,76.43,76.800003,75.370003,75.559998,5854400,74.776512
"231","GILD","Gilead Sciences, Inc.",2020-07-24,75.470001,75.650002,73.120003,73.639999,8149000,72.876427
"232","GILD","Gilead Sciences, Inc.",2020-07-27,73.889999,74.589996,73.32,74.540001,7678500,73.767097
"233","GILD","Gilead Sciences, Inc.",2020-07-28,74.669998,75.040001,73.610001,73.730003,5484400,72.9655
"234","GILD","Gilead Sciences, Inc.",2020-07-29,73.849998,73.849998,72.529999,73.010002,8345200,72.25296
"235","GILD","Gilead Sciences, Inc.",2020-07-30,72.550003,72.599998,71.709999,72.330002,9274100,71.580009
"236","GILD","Gilead Sciences, Inc.",2020-07-31,69.730003,70.830002,68.519997,69.529999,20558800,68.809044
"237","GILD","Gilead Sciences, Inc.",2020-08-03,69.720001,72.150002,69.610001,71.730003,9671800,70.986237
"238","GILD","Gilead Sciences, Inc.",2020-08-04,72.019997,72.309998,70.470001,70.879997,9799700,70.145042
"239","GILD","Gilead Sciences, Inc.",2020-08-05,70.639999,70.809998,68.980003,69,12281900,68.284538
"240","GILD","Gilead Sciences, Inc.",2020-08-06,69.019997,69.629997,68.620003,68.809998,8318000,68.096504
"241","GILD","Gilead Sciences, Inc.",2020-08-07,69.360001,69.730003,68.809998,69.349998,8066400,68.630905
"242","GILD","Gilead Sciences, Inc.",2020-08-10,69.150002,69.25,67.959999,68.510002,10278000,67.799622
"243","GILD","Gilead Sciences, Inc.",2020-08-11,68.449997,69.18,67.919998,68.099998,10236900,67.393867
"244","GILD","Gilead Sciences, Inc.",2020-08-12,68.690002,69.110001,68.379997,68.839996,9121200,68.126198
"245","GILD","Gilead Sciences, Inc.",2020-08-13,68.970001,69.190002,67.989998,68.18,7468100,67.473045
"246","GILD","Gilead Sciences, Inc.",2020-08-14,68.089996,68.82,68,68.5,9169200,67.789726
"247","GILD","Gilead Sciences, Inc.",2020-08-17,68.32,69.349998,68.309998,69.150002,6848800,68.432983
"248","GILD","Gilead Sciences, Inc.",2020-08-18,69.230003,69.75,68.980003,69.059998,6327500,68.343918
"249","GILD","Gilead Sciences, Inc.",2020-08-19,66.190002,67.470001,65.5,65.699997,19680300,65.018753
"250","GILD","Gilead Sciences, Inc.",2020-08-20,65.839996,66.160004,65.550003,66.050003,8339300,65.365128
"251","GILD","Gilead Sciences, Inc.",2020-08-21,65.779999,66.870003,65.410004,66.5,9898000,65.810463
"252","GILD","Gilead Sciences, Inc.",2020-08-24,66.360001,66.959999,65.550003,66.080002,8566200,65.394821
"253","GILD","Gilead Sciences, Inc.",2020-08-25,65.910004,66.239998,65.709999,66.050003,7456600,65.365128
"254","GILD","Gilead Sciences, Inc.",2020-08-26,65.879997,65.879997,65.160004,65.599998,7522600,64.919792
"255","GILD","Gilead Sciences, Inc.",2020-08-27,65.589996,65.849998,65.32,65.550003,7919600,64.870316
"256","GILD","Gilead Sciences, Inc.",2020-08-28,65.220001,65.75,64.980003,65.260002,6821000,64.583321
"257","GILD","Gilead Sciences, Inc.",2020-08-31,65.459999,66.889999,65.419998,66.75,9083900,66.057869
"258","GILD","Gilead Sciences, Inc.",2020-09-01,66.330002,66.470001,64.910004,65.830002,8355500,65.147408
"259","GILD","Gilead Sciences, Inc.",2020-09-02,65.32,66.959999,65.32,66.790001,8334700,66.097458
"260","GILD","Gilead Sciences, Inc.",2020-09-03,66.809998,67.43,65.480003,65.910004,10457400,65.226585
"261","GILD","Gilead Sciences, Inc.",2020-09-04,65.720001,66.940002,65.580002,66.010002,8762200,65.325546
"262","GILD","Gilead Sciences, Inc.",2020-09-08,65.120003,65.370003,63.950001,64.139999,10729400,63.47493
"263","GILD","Gilead Sciences, Inc.",2020-09-09,64.279999,65.080002,63.610001,64.510002,9309700,63.841099
